PARK,SIZE (ACRES),SIZE (KM^2),CATEGORY,BOROUGH,LAND AREA (KM^2),BOROUGH POPULATION,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
POSEIDON PLAYGROUND,2.944,0.011919028,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,1,0,0,0,0,1
MERRIAM PLAYGROUND,2.944,0.011919028,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
ROBERT E. VENABLE PARK,2.939,0.011898785,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
LEFFERTS PLAYGROUND,2.937,0.011890688,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
WALT WHITMAN PARK,2.913,0.011793522,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
WESTERLEIGH PARK,2.889,0.011696356,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
PETERS FIELD,2.872,0.01162753,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
DELPHIN H. GREENE PLAYGROUND,2.861,0.011582996,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
HOFFMAN PARK,2.857,0.011566802,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
MARKHAM PLAYGROUND,2.836,0.011481781,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
SPERANDEO BROTHERS PLAYGROUND,2.799,0.011331984,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
BUSHWICK PLAYGROUND ON KNICKERBOCKER AVENUE,2.783,0.011267206,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,1,0,0,0,1
IRVING SQUARE PARK,2.76,0.011174089,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
ST. VARTAN PARK,2.759,0.01117004,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,1,0,0,0,1
RAVENSWOOD PLAYGROUND,2.758,0.011165992,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
GORMAN PLAYGROUND,2.755,0.011153846,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,3,0,1,0,4
LOUIS CUVILLIER PARK,2.752,0.0111417,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
GRACE PLAYGROUND,2.744,0.011109312,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
GREEN CENTRAL KNOLL,2.741,0.011097166,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
DETECTIVE WILLIAM T. GUNN PARK,2.719,0.011008097,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
HOLY COW PLAYGROUND,2.7,0.010931174,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
BAYSIDE FIELDS,2.69,0.010890688,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
HICKMAN PLAYGROUND,2.656,0.010753036,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
ARBUTUS WOODS PARK,2.65,0.010728745,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
STARS & STRIPES PLAYGROUND,2.646,0.010712551,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
P.O. SERRANO PLAYGROUND,2.618,0.01059919,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
COLEMAN PLAYGROUND,2.61,0.010566802,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,1,0,0,0,0,1
MARGARET I. CARMAN GREEN - WEEPING BEECH,2.6,0.010526316,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,2,1,0,0,0,3
KATHY REILLY TRIANGLE,2.589,0.010481781,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
RIVERDALE PLAYGROUND,2.58,0.010445344,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
MARIE CURIE PARK,2.552,0.010331984,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
EDENWALD PLAYGROUND,2.537,0.010271255,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,1,0,0,0,1
THOMAS GREENE PLAYGROUND,2.525,0.010222672,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,1,1,0,0,0,2
MURRAY PLAYGROUND,2.524,0.010218623,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
BIG BUSH PARK,2.5,0.010121457,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,1,0,0,0,1
BATHGATE PLAYGROUND,2.5,0.010121457,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,1,0,0,0,1
JOSEPH RODMAN DRAKE PARK,2.49,0.010080972,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
INDEPENCE PARK SYLVAN GROVE CEMETERY,2.476,0.010024291,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
ALLEY PARK,2.446,0.009902834,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
FREDERICK JOHNSON PLAYGROUND,2.445,0.009898785,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
DAMROSCH PARK,2.443,0.009890688,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
ASSER LEVY PLAYGROUND,2.436,0.009862348,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
HARRY MAZE PLAYGROUND,2.427,0.009825911,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
LOST BATTALION HALL RECREATION CENTER,2.412,0.009765182,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,1,0,0,1
DUTCH KILLS PLAYGROUND,2.4,0.009716599,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
KOSCIUSZKO POOL,2.391,0.009680162,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
WEST PLAYGROUND,2.387,0.009663968,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
HOMECREST PLAYGROUND,2.372,0.009603239,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,1,0,0,1
DE MATTI PLAYGROUND,2.335,0.009453441,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
POE PARK,2.331,0.009437247,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,1,0,1
OVERLOOK PARK,2.327,0.009421053,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
BARUCH PLAYGROUND,2.32,0.009392713,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,1,0,1
OSBORN PLAYGROUND,2.3,0.009311741,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
TRIBORO PLAZA,2.3,0.009311741,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
RAILROAD PLAYGROUND,2.3,0.009311741,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
FLOYD PATTERSON BALLFIELDS,2.3,0.009311741,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
POWER PLAYGROUND,2.295,0.009291498,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,1,0,0,0,1
MONSIGNOR CRAWFORD FIELD,2.291,0.009275304,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
MARTIN LUTHER KING JR. PLAYGROUND,2.29,0.009271255,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
P.O. REINALDO SALGADO PLAYGROUND,2.289,0.009267206,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,1,0,2,0,3
CARLTON PARK AT CARLTON AVENUE & FOSTER ROAD,2.288,0.009263158,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
CENTURY PLAYGROUND,2.282,0.009238866,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
SOUTH PACIFIC PLAYGROUND,2.264,0.009165992,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
NORTH SHORE ESPLANADE,2.252,0.009117409,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
FOX PLAYGROUND BROOKLYN,2.25,0.009109312,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
VLEIGH PLAYGROUND,2.243,0.009080972,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
LAREDO AVENUE PARCEL,2.223,0.009,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
FREDERICK B. JUDGE PLAYGROUND,2.217,0.008975709,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
BELMONT PLAYGROUND BRONX,2.213,0.008959514,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,1,0,0,0,1
MAHONEY PLAYGROUND,2.21,0.008947368,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
ANCHORAGE PLAZA,2.2,0.008906883,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
HOYT PLAYGROUND,2.2,0.008906883,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,1,0,0,1,0,2
ASTORIA HEIGHTS PLAYGROUND,2.2,0.008906883,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
LORETO PLAYGROUND,2.181,0.00882996,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,1,0,0,0,0,1
HARDING PARK,2.16,0.008744939,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
WASHINGTON MARKET PARK,2.15,0.008704453,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
VIDALIA PARK,2.136,0.008647773,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,1,0,1
UNNAMED PARK ON E 122ND STREET,2.13,0.008623482,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
BRIDGE PARK BROOKLYN,2.117,0.00857085,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,2,0,2
HAMILTON METZ FIELD,2.112,0.008550607,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
CARDOZO PLAYGROUND,2.096,0.00848583,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
CENTREVILLE PLAYGROUND,2.095,0.008481781,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
REDFERN PLAYGROUND,2.093,0.008473684,ONE ACRE OR LARGER,QUEENS       ,280,2405464,1,0,1,0,0,0,0,2
SHEEPSHEAD PLAYGROUND,2.087,0.008449393,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
